curr_title,prev_id,curr_id,n,prev_title,type,connec_tot,conec_perc
Acura,23901899,142314,11,Subaru,link,3562,0.31
Acura,30984,142314,11,Toyota,link,3562,0.31
Acura,251887,142314,13,Luxury_vehicle,link,3562,0.36
Acura,21240,142314,15,Nissan,link,3562,0.42
Acura,21647990,142314,14,Acura_ARX-02a,link,3562,0.39
Acura,409525,142314,89,Acura_TSX,link,3562,2.50
Acura,821298,142314,94,Acura_NSX_(2015),link,3562,2.64
Acura,598144,142314,57,Acura_MDX,link,3562,1.60
Acura,947730,142314,60,Acura_Legend,link,3562,1.68
Acura,34034631,142314,156,Acura_ILX,link,3562,4.38
Acura,700235,142314,22,Acura_CL,link,3562,0.62
Acura,42254,142314,32,Buick,link,3562,0.90
Acura,39791384,142314,78,CarPlay,link,3562,2.19
Acura,163778,142314,72,Automotive_industry,link,3562,2.02
Acura,42270627,142314,21,List_of_current_automobile_manufacturers_by_country,link,3562,0.59
Acura,16986173,142314,116,List_of_automobile_manufacturers_of_Japan,link,3562,3.26
Acura,38174481,142314,39,List_of_sports_cars,link,3562,1.09
Acura,5038019,142314,22,List_of_sport_utility_vehicles,link,3562,0.62
Acura,668985,142314,12,Honda_Integra_DC5,link,3562,0.34
Acura,308915,142314,163,Infiniti,link,3562,4.58
Acura,16115,142314,11,James_Spader,link,3562,0.31
Acura,17190497,142314,11,List_of_Le_Mans_Prototypes,link,3562,0.31
Acura,677927,142314,49,Honda_NSX,link,3562,1.38
Acura,3758769,142314,31,Krysti_Lynn,link,3562,0.87
Acura,13729,142314,884,Honda,link,3562,24.82
Acura,1431767,142314,12,Manumatic,link,3562,0.34
Acura,19370,142314,34,Mazda,link,3562,0.95
Acura,469313,142314,12,Scion_(automobile),link,3562,0.34
Acura,1584835,142314,15,Smart_key,link,3562,0.42
Acura,22114132,142314,11,The_Avengers_(2012_film),link,3562,0.31
Acura,18329,142314,185,Lexus,link,3562,5.19
Acura,363413,142314,11,Honda_Civic,link,3562,0.31
Acura,306140,142314,67,Honda_Integra,link,3562,1.88
Acura,364459,142314,39,Honda_Accord,link,3562,1.09
Acura,1997209,142314,10,Honda_K_engine,link,3562,0.28
Acura,42293017,142314,78,List_of_current_automobile_manufacturers_(alphabetical),link,3562,2.19
Acura,59261,142314,225,List_of_automobile_manufacturers,link,3562,6.32
Acura,3161370,142314,18,Acura_CSX,link,3562,0.51
Acura,30864860,142314,16,Automotive_industry_in_Japan,link,3562,0.45
Acura,489379,142314,26,Acura_TL,link,3562,0.73
Acura,43144075,142314,17,Android_Auto,link,3562,0.48
Acura,28860720,142314,11,American_Honda_Motor_Company,link,3562,0.31
Acura,36984104,142314,54,Acura_RLX,link,3562,1.52
Acura,41655361,142314,125,Acura_TLX,link,3562,3.51
Acura,1741361,142314,40,Acura_RDX,link,3562,1.12
Acura,36358972,142314,33,Comedians_in_Cars_Getting_Coffee,link,3562,0.93
Acura,5899605,142314,18,Big_Three_(automobile_manufacturers),link,3562,0.51
Acura,670227,142314,39,Acura_RL,link,3562,1.09
Acura,22065980,142314,25,Acura_ZDX,link,3562,0.70
Acura,56824,142314,31,Accra,other,3562,0.87
Acura,15580374,142314,292,Main_Page,other,3562,8.20
Acura,848,142314,18,Audi,other,3562,0.51
Acura,36988585,142314,17,Cecily_Strong,other,3562,0.48
