curr_title,prev_id,curr_id,n,prev_title,type,connec_tot,conec_perc
Audi,18271,848,2611,Lamborghini,link,15937,16.38
Audi,3772,848,1930,BMW,link,15937,12.11
Audi,32652,848,1698,Volkswagen_Group,link,15937,10.65
Audi,18564164,848,1012,Mercedes-Benz,link,15937,6.35
Audi,59261,848,381,List_of_automobile_manufacturers,link,15937,2.39
Audi,444612,848,356,Auto_Union,link,15937,2.23
Audi,16980894,848,351,List_of_automobile_manufacturers_of_Germany,link,15937,2.20
Audi,32413,848,336,Volkswagen,link,15937,2.11
Audi,661920,848,245,Audi_A4,link,15937,1.54
Audi,8653,848,216,Ducati,link,15937,1.36
Audi,966130,848,214,Audi_R8,link,15937,1.34
Audi,24365,848,195,Porsche,link,15937,1.22
Audi,620051,848,192,Audi_A3,link,15937,1.20
Audi,76581,848,188,List_of_companies_of_Germany,link,15937,1.18
Audi,633049,848,161,Audi_A8,link,15937,1.01
Audi,208251,848,135,Ingolstadt,link,15937,0.85
Audi,540028,848,133,Audi_A6,link,15937,0.83
Audi,1014707,848,128,Audi_Q7,link,15937,0.80
Audi,940343,848,113,Audi_Quattro,link,15937,0.71
Audi,643555,848,99,Audi_A5,link,15937,0.62
Audi,619565,848,99,Audi_100,link,15937,0.62
Audi,163778,848,98,Automotive_industry,link,15937,0.61
Audi,556197,848,98,Audi_TT,link,15937,0.61
Audi,21154679,848,90,Audi_A7,link,15937,0.56
Audi,251887,848,87,Luxury_vehicle,link,15937,0.55
Audi,150228,848,82,Wolfsburg,link,15937,0.51
Audi,1573618,848,79,Vorsprung_durch_Technik,link,15937,0.50
Audi,586085,848,79,Audi_RSQ,link,15937,0.50
Audi,42293017,848,73,List_of_current_automobile_manufacturers_(alphabetical),link,15937,0.46
Audi,30002776,848,72,Audi_R18,link,15937,0.45
Audi,757747,848,71,Quattro_(four-wheel-drive_system),link,15937,0.45
Audi,2038,848,69,August_Horch,link,15937,0.43
Audi,620038,848,68,Audi_80,link,15937,0.43
Audi,14971711,848,65,Quattro_GmbH,link,15937,0.41
Audi,762283,848,65,NSU_Motorenwerke,link,15937,0.41
Audi,8235704,848,65,Audi_A1,link,15937,0.41
Audi,1979142,848,63,The_Ballad_of_Bilbo_Baggins,link,15937,0.40
Audi,166000,848,61,SEAT,link,15937,0.38
Audi,23373068,848,58,Rupert_Stadler,link,15937,0.36
Audi,8707,848,58,DKW,link,15937,0.36
Audi,41417113,848,56,Lamborghini_HuracÌÁn,link,15937,0.35
Audi,11867,848,56,Germany,link,15937,0.35
Audi,1431767,848,55,Manumatic,link,15937,0.35
Audi,3764,848,53,Bavaria,link,15937,0.33
Audi,5899605,848,50,Big_Three_(automobile_manufacturers),link,15937,0.31
Audi,7512574,848,50,Audi_S_and_RS_models,link,15937,0.31
Audi,7158862,848,50,Audi_Q3,link,15937,0.31
Audi,29603823,848,49,Lamborghini_Aventador,link,15937,0.31
Audi,1432147,848,49,Audi_S4,link,15937,0.31
Audi,1579560,848,49,Audi_Q5,link,15937,0.31
Audi,21183116,848,46,List_of_Volkswagen_Group_factories,link,15937,0.29
Audi,2597172,848,45,Vehicle_beacon_lights_in_India,link,15937,0.28
Audi,7960295,848,43,Martin_Winterkorn,link,15937,0.27
Audi,63971,848,42,Maserati,link,15937,0.26
Audi,41783920,848,41,Fiat_Chrysler_Automobiles,link,15937,0.26
Audi,42977,848,40,Daimler_AG,link,15937,0.25
Audi,18329,848,35,Lexus,link,15937,0.22
Audi,39848,848,35,Chevrolet,link,15937,0.22
Audi,15379943,848,34,Audi_S5,link,15937,0.21
Audi,23178719,848,33,Driver_drowsiness_detection,link,15937,0.21
Audi,1248069,848,33,Audi_V8,link,15937,0.21
Audi,620081,848,33,Audi_A2,link,15937,0.21
Audi,7648537,848,32,Stefano_Domenicali,link,15937,0.20
Audi,42270627,848,32,List_of_current_automobile_manufacturers_by_country,link,15937,0.20
Audi,5052,848,32,Bentley,link,15937,0.20
Audi,23576290,848,32,Automotive_industry_in_Germany,link,15937,0.20
Audi,196078,848,30,Lamborghini_MurciÌ©lago,link,15937,0.19
Audi,917563,848,30,Audi_50,link,15937,0.19
Audi,38337760,848,28,Audi_R10_TDI,link,15937,0.18
Audi,554356,848,27,Volkswagen_Passat,link,15937,0.17
Audi,22284,848,27,Opel,link,15937,0.17
Audi,27994394,848,27,Audi_India,link,15937,0.17
Audi,16079449,848,26,Porsche_Automobil_Holding_SE,link,15937,0.16
Audi,741078,848,26,NSU_Ro_80,link,15937,0.16
Audi,956486,848,26,List_of_Volkswagen_Group_petrol_engines,link,15937,0.16
Audi,308915,848,26,Infiniti,link,15937,0.16
Audi,26970,848,26,ÅÊkoda_Auto,link,15937,0.16
Audi,1877351,848,26,Bugatti_Automobiles,link,15937,0.16
Audi,389605,848,25,Volvo_Cars,link,15937,0.16
Audi,2227755,848,25,Horch,link,15937,0.16
Audi,4497,848,25,Bugatti,link,15937,0.16
Audi,38174481,848,24,List_of_sports_cars,link,15937,0.15
Audi,9088185,848,23,Audi_F103,link,15937,0.14
Audi,166136,848,22,Vehicle_identification_number,link,15937,0.14
Audi,1538807,848,21,Italdesign_Giugiaro,link,15937,0.13
Audi,1436008,848,21,Audi_RS_6,link,15937,0.13
