curr_title,prev_id,curr_id,n,prev_title,type,connec_tot,conec_perc
Cadillac,163778,64252,100,Automotive_industry,link,7716,1.30
Cadillac,417850,64252,138,Cadillac_Escalade,link,7716,1.79
Cadillac,39848,64252,80,Chevrolet,link,7716,1.04
Cadillac,180012,64252,15,Destination_Unknown_(Mest_album),link,7716,0.19
Cadillac,2861,64252,10,Advertising,link,7716,0.13
Cadillac,675564,64252,14,Cadillac_V-16,link,7716,0.18
Cadillac,417851,64252,146,Cadillac_Eldorado,link,7716,1.89
Cadillac,273226,64252,70,Antoine_de_la_Mothe_Cadillac,link,7716,0.91
Cadillac,13673345,64252,39,Car,link,7716,0.51
Cadillac,535567,64252,40,Cadillac_Seville,link,7716,0.52
Cadillac,28314974,64252,10,Chevrolet_Impala_(fourth_generation),link,7716,0.13
Cadillac,2515560,64252,13,Cadillac_Sixteen,link,7716,0.17
Cadillac,42254,64252,448,Buick,link,7716,5.81
Cadillac,895428,64252,46,Cadillac_STS,link,7716,0.60
Cadillac,23932059,64252,70,Cadillac_ATS,link,7716,0.91
Cadillac,6882,64252,21,Chrysler,link,7716,0.27
Cadillac,4292152,64252,14,Death_of_Marilyn_Monroe,link,7716,0.18
Cadillac,895413,64252,33,Cadillac_XLR,link,7716,0.43
Cadillac,895122,64252,13,Chrysler_Imperial,link,7716,0.17
Cadillac,914524,64252,27,Cadillac_Catera,link,7716,0.35
Cadillac,1693016,64252,35,Cadillac_Series_62,link,7716,0.45
Cadillac,23546811,64252,127,Cadillac_de_Ville_series,link,7716,1.65
Cadillac,782759,64252,156,Cadillac_CTS,link,7716,2.02
Cadillac,40564005,64252,21,Cadillac_Elmiraj,link,7716,0.27
Cadillac,42270627,64252,13,List_of_current_automobile_manufacturers_by_country,link,7716,0.17
Cadillac,38174481,64252,20,List_of_sports_cars,link,7716,0.26
Cadillac,16986126,64252,456,List_of_automobile_manufacturers_of_the_United_States,link,7716,5.91
Cadillac,157772,64252,19,Fountains_of_Wayne,link,7716,0.25
Cadillac,12744042,64252,18,Ghostbusters_(franchise),link,7716,0.23
Cadillac,273239,64252,98,Henry_Ford_Company,link,7716,1.27
Cadillac,4447307,64252,13,Hudson_Hornet,link,7716,0.17
Cadillac,2326938,64252,11,Liberty_L-12,link,7716,0.14
Cadillac,1458984,64252,13,Hydramatic,link,7716,0.17
Cadillac,22583399,64252,36,List_of_Cadillac_vehicles,link,7716,0.47
Cadillac,308915,64252,26,Infiniti,link,7716,0.34
Cadillac,10561838,64252,26,History_of_General_Motors,link,7716,0.34
Cadillac,2743891,64252,10,License_to_Drive,link,7716,0.13
Cadillac,13274,64252,17,Hearse,link,7716,0.22
Cadillac,330932,64252,22,GMC_(automobile),link,7716,0.29
Cadillac,342021,64252,14,Mickey_Cohen,link,7716,0.18
Cadillac,859304,64252,19,Northstar_engine_series,link,7716,0.25
Cadillac,1241722,64252,21,Motor_Trend_Car_of_the_Year,link,7716,0.27
Cadillac,295235,64252,57,Lowrider,link,7716,0.74
Cadillac,228458,64252,10,Muscle_car,link,7716,0.13
Cadillac,11310746,64252,11,Rhett_and_Link,link,7716,0.14
Cadillac,76165,64252,174,Pontiac,link,7716,2.26
Cadillac,381325,64252,12,Sedan_(automobile),link,7716,0.16
Cadillac,52040,64252,22,Oldsmobile,link,7716,0.29
Cadillac,177354,64252,22,Packard,link,7716,0.29
Cadillac,251887,64252,13,Luxury_vehicle,link,7716,0.17
Cadillac,1623095,64252,10,Philip_Levine_(poet),link,7716,0.13
Cadillac,335694,64252,20,M24_Chaffee,link,7716,0.26
Cadillac,12451747,64252,21,Official_state_car,link,7716,0.27
Cadillac,38900595,64252,50,Murder_of_Tupac_Shakur,link,7716,0.65
Cadillac,161812,64252,12,Saturn_Corporation,link,7716,0.16
Cadillac,2603845,64252,12,Sapele,link,7716,0.16
Cadillac,31341,64252,163,Tupac_Shakur,link,7716,2.11
Cadillac,2435612,64252,17,U.S._Automobile_Production_Figures,link,7716,0.22
Cadillac,241171,64252,12,Weird_Science_(film),link,7716,0.16
Cadillac,1583427,64252,12,Mary_Kay,link,7716,0.16
Cadillac,24113,64252,16,President_of_the_United_States,link,7716,0.21
Cadillac,4783583,64252,215,Presidential_state_car_(United_States),link,7716,2.79
Cadillac,2528486,64252,17,M41_Walker_Bulldog,link,7716,0.22
Cadillac,25041,64252,21,Lockheed_P-38_Lightning,link,7716,0.27
Cadillac,1502565,64252,10,Oakland_Motor_Car_Company,link,7716,0.13
Cadillac,5470103,64252,10,Passenger_vehicles_in_the_United_States,link,7716,0.13
Cadillac,13147596,64252,15,V8_engine,link,7716,0.19
Cadillac,4420949,64252,25,FNG_syndrome,link,7716,0.32
Cadillac,541143,64252,13,Lincoln_Town_Car,link,7716,0.17
Cadillac,489803,64252,122,Henry_M._Leland,link,7716,1.58
Cadillac,12102,64252,1554,General_Motors,link,7716,20.14
Cadillac,609694,64252,28,Lincoln_Continental,link,7716,0.36
