curr_title,prev_id,curr_id,n,prev_title,type,connec_tot,conec_perc
Infiniti,912205,308915,47,Nissan_Skyline,link,4317,1.09
Infiniti,251887,308915,19,Luxury_vehicle,link,4317,0.44
Infiniti,535739,308915,76,Nismo,link,4317,1.76
Infiniti,21240,308915,1016,Nissan,link,4317,23.53
Infiniti,1173193,308915,243,Red_Bull_Racing,link,4317,5.63
Infiniti,968928,308915,10,Nissan_Fuga,link,4317,0.23
Infiniti,994217,308915,16,Nissan_VH_engine,link,4317,0.37
Infiniti,390998,308915,11,Nissan_Pathfinder,link,4317,0.25
Infiniti,46496,308915,78,Mount_Fuji,link,4317,1.81
Infiniti,31759081,308915,93,Renault‰ÛÒNissan_Alliance,link,4317,2.15
Infiniti,30984,308915,11,Toyota,link,4317,0.25
Infiniti,1584835,308915,13,Smart_key,link,4317,0.30
Infiniti,975942,308915,13,Nissan_Cefiro,link,4317,0.30
Infiniti,1033540,308915,70,Nissan_Patrol,link,4317,1.62
Infiniti,169562,308915,54,Lotus_Cars,link,4317,1.25
Infiniti,19370,308915,31,Mazda,link,4317,0.72
Infiniti,6437759,308915,25,Sebastian_Vettel,link,4317,0.58
Infiniti,23202701,308915,14,Nissan_Primera,link,4317,0.32
Infiniti,18012843,308915,11,Collision_avoidance_system,link,4317,0.25
Infiniti,1179746,308915,19,Bob_Clark,link,4317,0.44
Infiniti,30864860,308915,11,Automotive_industry_in_Japan,link,4317,0.25
Infiniti,8075,308915,20,Datsun,link,4317,0.46
Infiniti,59261,308915,199,List_of_automobile_manufacturers,link,4317,4.61
Infiniti,42293017,308915,35,List_of_current_automobile_manufacturers_(alphabetical),link,4317,0.81
Infiniti,24365592,308915,117,Infiniti_QX56,link,4317,2.71
Infiniti,1029493,308915,57,Infiniti_Q45,link,4317,1.32
Infiniti,1605389,308915,42,Infinity_symbol,link,4317,0.97
Infiniti,1794218,308915,58,Infiniti_FX,link,4317,1.34
Infiniti,18329,308915,116,Lexus,link,4317,2.69
Infiniti,38224778,308915,152,Infiniti_Q50,link,4317,3.52
Infiniti,31546619,308915,37,Infiniti_QX60,link,4317,0.86
Infiniti,968948,308915,150,Infiniti_M,link,4317,3.47
Infiniti,13729,308915,12,Honda,link,4317,0.28
Infiniti,622513,308915,16,Infiniti_J30,link,4317,0.37
Infiniti,2931878,308915,419,Infinity_(disambiguation),link,4317,9.71
Infiniti,3110116,308915,211,Infiniti_G-series,link,4317,4.89
Infiniti,11966366,308915,15,Infiniti_EX,link,4317,0.35
Infiniti,1083887,308915,10,List_of_Mazda_vehicles,link,4317,0.23
Infiniti,35390828,308915,10,Infiniti_LE,link,4317,0.23
Infiniti,16986173,308915,103,List_of_automobile_manufacturers_of_Japan,link,4317,2.39
Infiniti,42270627,308915,18,List_of_current_automobile_manufacturers_by_country,link,4317,0.42
Infiniti,38174481,308915,17,List_of_sports_cars,link,4317,0.39
Infiniti,30010877,308915,12,Automotive_industry_in_Russia,link,4317,0.28
Infiniti,18334077,308915,40,Daniel_Ricciardo,link,4317,0.93
Infiniti,947730,308915,13,Acura_Legend,link,4317,0.30
Infiniti,3475608,308915,12,ATTESA,link,4317,0.28
Infiniti,163778,308915,62,Automotive_industry,link,4317,1.44
Infiniti,39791384,308915,37,CarPlay,link,4317,0.86
Infiniti,142314,308915,100,Acura,link,4317,2.32
Infiniti,26722719,308915,13,Andy_Palmer,link,4317,0.30
Infiniti,15580374,308915,237,Main_Page,other,4317,5.49
Infiniti,39499648,308915,20,Infinit,other,4317,0.46
Infiniti,42257,308915,11,Hyundai_Motor_Company,other,4317,0.25
Infiniti,308915,308915,15,Infiniti,other,4317,0.35
Infiniti,20110824,308915,50,Infinity,other,4317,1.16
