curr_title,prev_id,curr_id,n,prev_title,type,connec_tot,conec_perc
Jaguar,330508,16217,12,TupiäóñGuarani_languages,link,21328,0.06
Jaguar,248669,16217,26,Tapir,link,21328,0.12
Jaguar,569459,16217,29,White-tailed_deer,link,21328,0.14
Jaguar,9118022,16217,72,White_panther,link,21328,0.34
Jaguar,269357,16217,10,Wildcat,link,21328,0.05
Jaguar,10220968,16217,16,Were-jaguar,link,21328,0.08
Jaguar,30299190,16217,12,Wild_Kratts,link,21328,0.06
Jaguar,33869663,16217,18,Substituted_tryptamine,link,21328,0.08
Jaguar,1837212,16217,37,United_States_Fish_and_Wildlife_Service_list_of_endangered_species_of_mammals_and_birds,link,21328,0.17
Jaguar,21649,16217,25,New_Mexico,link,21328,0.12
Jaguar,268115,16217,266,Ocelot,link,21328,1.25
Jaguar,79345,16217,812,Panther,link,21328,3.81
Jaguar,63971,16217,27,Maserati,link,21328,0.13
Jaguar,31192261,16217,60,Solitary_animal,link,21328,0.28
Jaguar,5168174,16217,57,Sloth,link,21328,0.27
Jaguar,61108,16217,18,Phantom_cat,link,21328,0.08
Jaguar,26769,16217,29,South_America,link,21328,0.14
Jaguar,49121,16217,100,"Phoenix,_Arizona",link,21328,0.47
Jaguar,29370,16217,10,Snake,link,21328,0.05
Jaguar,309715,16217,44,Sonoran_Desert,link,21328,0.21
Jaguar,2389770,16217,72,Panthera_hybrid,link,21328,0.34
Jaguar,57559,16217,16,Predation,link,21328,0.08
Jaguar,3176247,16217,12,Orinoco_crocodile,link,21328,0.06
Jaguar,3275490,16217,11,Marsh_deer,link,21328,0.05
Jaguar,659859,16217,13,Melanism,link,21328,0.06
Jaguar,90313,16217,17,Nagual,link,21328,0.08
Jaguar,498831,16217,54,Polymorphism_(biology),link,21328,0.25
Jaguar,10550914,16217,13,Feliformia,link,21328,0.06
Jaguar,379217,16217,76,Jaguarundi,link,21328,0.36
Jaguar,38876086,16217,38,Leopard_attack,link,21328,0.18
Jaguar,12713,16217,12,Giant_panda,link,21328,0.06
Jaguar,336979,16217,40,Jaguars_in_Mesoamerican_cultures,link,21328,0.19
Jaguar,2607068,16217,20,Giant_otter,link,21328,0.09
Jaguar,5795407,16217,15,European_jaguar,link,21328,0.07
Jaguar,533074,16217,21,Guanaco,link,21328,0.10
Jaguar,3583008,16217,10,Lacandon_Jungle,link,21328,0.05
Jaguar,21772870,16217,21,List_of_South_American_mammals,link,21328,0.10
Jaguar,17033195,16217,11,Fauna_of_South_America,link,21328,0.05
Jaguar,36896,16217,293,Lion,link,21328,1.37
Jaguar,11302,16217,913,Felidae,link,21328,4.28
Jaguar,20110668,16217,75,Endangered_species,link,21328,0.35
Jaguar,2177451,16217,12,Georgia_Regents_University,link,21328,0.06
Jaguar,33702,16217,21,Gray_wolf,link,21328,0.10
Jaguar,883029,16217,106,Jaguar_(disambiguation),link,21328,0.50
Jaguar,340167,16217,19,Giant_anteater,link,21328,0.09
Jaguar,14054270,16217,14,Giant_cheetah,link,21328,0.07
Jaguar,43618,16217,2963,Black_panther,link,21328,13.89
Jaguar,1872736,16217,16,Apex_predator,link,21328,0.08
Jaguar,2308701,16217,30,Apocalypto,link,21328,0.14
Jaguar,773452,16217,16,Argentina_national_rugby_union_team,link,21328,0.08
Jaguar,28377703,16217,19,Bite_force_quotient,link,21328,0.09
Jaguar,66275,16217,19,Coati,link,21328,0.09
Jaguar,45798,16217,17,Clouded_leopard,link,21328,0.08
Jaguar,48139,16217,165,Amazon_rainforest,link,21328,0.77
Jaguar,45609,16217,127,Cheetah,link,21328,0.60
Jaguar,32437185,16217,120,Cats_in_the_United_States,link,21328,0.56
Jaguar,2329693,16217,25,Corcovado_National_Park,link,21328,0.12
Jaguar,3383,16217,254,Brazil,link,21328,1.19
Jaguar,453551,16217,54,Amazon_basin,link,21328,0.25
Jaguar,1047559,16217,31,Brazilian_Army,link,21328,0.15
Jaguar,4437504,16217,27,Automotive_industry_in_India,link,21328,0.13
Jaguar,6201,16217,12,CITES,link,21328,0.06
Jaguar,8873484,16217,22,Cockscomb_Basin_Wildlife_Sanctuary,link,21328,0.10
Jaguar,1629020,16217,38,Animal_Face-Off,link,21328,0.18
Jaguar,6678,16217,28,Cat,link,21328,0.13
Jaguar,1581406,16217,10,Congolese_Spotted_Lion,link,21328,0.05
Jaguar,1297530,16217,18,Canaima_National_Park,link,21328,0.08
Jaguar,3741743,16217,10,African_leopard,link,21328,0.05
Jaguar,3259425,16217,17,List_of_mammals_of_Brazil,link,21328,0.08
Jaguar,7921709,16217,64,List_of_apex_predators,link,21328,0.30
Jaguar,31162861,16217,17,List_of_Wild_Kratts_episodes,link,21328,0.08
Jaguar,8829893,16217,35,List_of_mammals_of_California,link,21328,0.16
Jaguar,229623,16217,58,List_of_animal_names,link,21328,0.27
Jaguar,11357906,16217,10,List_of_mammals_of_Panama,link,21328,0.05
Jaguar,9262065,16217,41,List_of_mammals_of_North_America,link,21328,0.19
Jaguar,11357815,16217,14,List_of_mammals_of_Peru,link,21328,0.07
Jaguar,30529177,16217,95,List_of_solitary_animals,link,21328,0.45
Jaguar,38174481,16217,38,List_of_sports_cars,link,21328,0.18
Jaguar,9179509,16217,12,Alipore_Zoological_Gardens,link,21328,0.06
Jaguar,171808,16217,28,Bobcat,link,21328,0.13
Jaguar,9531162,16217,10,Balam,link,21328,0.05
Jaguar,1220214,16217,65,American_lion,link,21328,0.30
Jaguar,169060,16217,13,Dinofelis,link,21328,0.06
Jaguar,966870,16217,18,Baird's_tapir,link,21328,0.08
Jaguar,30871482,16217,11,Amur_leopard,link,21328,0.05
Jaguar,34201323,16217,12,Brazilian_real,link,21328,0.06
Jaguar,6776,16217,78,Capybara,link,21328,0.37
Jaguar,1174701,16217,47,Black_caiman,link,21328,0.22
Jaguar,3243606,16217,11,Brown-throated_sloth,link,21328,0.05
Jaguar,165456,16217,2563,Big_cat,link,21328,12.02
Jaguar,78160,16217,1972,Cougar,link,21328,9.25
Jaguar,3458,16217,120,Belize,link,21328,0.56
Jaguar,376504,16217,12,Crepuscular,link,21328,0.06
Jaguar,6787,16217,11,Chiapas,link,21328,0.05
Jaguar,17238691,16217,16,Guyana,link,21328,0.08
Jaguar,2631286,16217,23,"Go,_Diego,_Go!",link,21328,0.11
Jaguar,1051855,16217,16,Legends_of_the_Hidden_Temple,link,21328,0.08
Jaguar,12585160,16217,17,List_of_Madagascar_(franchise)_characters,link,21328,0.08
Jaguar,1092739,16217,22,Gran_Chaco,link,21328,0.10
Jaguar,2249760,16217,23,King_(Tekken),link,21328,0.11
Jaguar,453725,16217,17,Jaguar_warrior,link,21328,0.08
Jaguar,2432853,16217,17,Iguazí__National_Park,link,21328,0.08
Jaguar,44303,16217,1742,Leopard,link,21328,8.17
Jaguar,230342,16217,161,Keystone_species,link,21328,0.75
Jaguar,2680144,16217,36,Leopardus,link,21328,0.17
Jaguar,30584104,16217,77,Kevin_Richardson_(zookeeper),link,21328,0.36
Jaguar,7589080,16217,16,Indian_leopard,link,21328,0.08
Jaguar,408198,16217,12,King_vulture,link,21328,0.06
Jaguar,9683498,16217,28,Fauna_of_Nicaragua,link,21328,0.13
Jaguar,1921074,16217,12,"El_Castillo,_Chichen_Itza",link,21328,0.06
Jaguar,13821612,16217,12,List_of_Winnie-the-Pooh_characters,link,21328,0.06
Jaguar,4205445,16217,32,List_of_semiaquatic_organisms,link,21328,0.15
Jaguar,35432492,16217,16,List_of_rain_deities,link,21328,0.08
Jaguar,2180476,16217,102,List_of_national_animals,link,21328,0.48
Jaguar,21697524,16217,21,List_of_ThunderCats_characters,link,21328,0.10
Jaguar,5956192,16217,43,List_of_mammals_of_Texas,link,21328,0.20
Jaguar,11358901,16217,35,List_of_mammals_of_Mexico,link,21328,0.16
Jaguar,11366991,16217,12,List_of_mammals_of_Argentina,link,21328,0.06
