curr_title,prev_id,curr_id,n,prev_title,type,connec_tot,conec_perc
Lexus,30864860,18329,56,Automotive_industry_in_Japan,link,5428,1.03
Lexus,5899605,18329,11,Big_Three_(automobile_manufacturers),link,5428,0.20
Lexus,30053656,18329,23,Lexus_IS_(XE20),link,5428,0.42
Lexus,1281561,18329,15,Lexis,link,5428,0.28
Lexus,1945240,18329,53,Lexus_GX,link,5428,0.98
Lexus,4869284,18329,13,Executive_car,link,5428,0.24
Lexus,26181716,18329,54,Lexus_CT,link,5428,0.99
Lexus,968414,18329,233,Lexus_LS,link,5428,4.29
Lexus,15578,18329,17,Economy_of_Japan,link,5428,0.31
Lexus,4670679,18329,87,Kiichiro_Toyoda,link,5428,1.60
Lexus,20836229,18329,22,Lexus_HS,link,5428,0.41
Lexus,1380216,18329,217,Lexus_LFA,link,5428,4.00
Lexus,21530474,18329,26,Lexus_LS_(XF40),link,5428,0.48
Lexus,12716715,18329,11,Lexus_2054,link,5428,0.20
Lexus,30433662,18329,10,Ford_Motor_Company,link,5428,0.18
Lexus,40969591,18329,205,Lexus_RC,link,5428,3.78
Lexus,59261,18329,241,List_of_automobile_manufacturers,link,5428,4.44
Lexus,1304420,18329,42,List_of_Toyota_vehicles,link,5428,0.77
Lexus,42293017,18329,30,List_of_current_automobile_manufacturers_(alphabetical),link,5428,0.55
Lexus,847262,18329,10,VVT-i,link,5428,0.18
Lexus,559469,18329,10,Toyota_Avalon,link,5428,0.18
Lexus,23901899,18329,10,Subaru,link,5428,0.18
Lexus,30864568,18329,12,Toyota_Harrier,link,5428,0.22
Lexus,30984,18329,1147,Toyota,link,5428,21.13
Lexus,436580,18329,12,Toyota_Supra,link,5428,0.22
Lexus,4247873,18329,12,Norman_Reedus,link,5428,0.22
Lexus,52040,18329,12,Oldsmobile,link,5428,0.22
Lexus,251887,18329,11,Luxury_vehicle,link,5428,0.20
Lexus,21240,18329,35,Nissan,link,5428,0.64
Lexus,2817713,18329,17,My_Super_Sweet_16,link,5428,0.31
Lexus,469313,18329,27,Scion_(automobile),link,5428,0.50
Lexus,9429578,18329,10,Nobel_(typeface),link,5428,0.18
Lexus,1148294,18329,32,Royal_warrant_of_appointment,link,5428,0.59
Lexus,61720,18329,14,Nagoya,link,5428,0.26
Lexus,19370,18329,38,Mazda,link,5428,0.70
Lexus,2864056,18329,13,Manufacturing_in_Japan,link,5428,0.24
Lexus,35347926,18329,10,Qi_(inductive_power_standard),link,5428,0.18
Lexus,13147596,18329,12,V8_engine,link,5428,0.22
Lexus,1237541,18329,16,Toyota_Century,link,5428,0.29
Lexus,737603,18329,39,Toyota_Camry,link,5428,0.72
Lexus,4855960,18329,12,Toyota_Land_Cruiser_Prado,link,5428,0.22
Lexus,1122415,18329,10,Toyota_Racing_Development,link,5428,0.18
Lexus,33924745,18329,25,Toyota_86,link,5428,0.46
Lexus,1584835,18329,17,Smart_key,link,5428,0.31
Lexus,1509250,18329,12,Intelligent_Parking_Assist_System,link,5428,0.22
Lexus,27995999,18329,11,Girl_Walks_into_a_Bar,link,5428,0.20
Lexus,643699,18329,64,Lexus_SC,link,5428,1.18
Lexus,42257,18329,13,Hyundai_Motor_Company,link,5428,0.24
Lexus,42467695,18329,65,Lexus_NX,link,5428,1.20
Lexus,312017,18329,13,Eiji_Toyoda,link,5428,0.24
Lexus,18073089,18329,31,Lexus_F,link,5428,0.57
Lexus,680721,18329,145,Lexus_GS,link,5428,2.67
Lexus,1676535,18329,21,James_Remar,link,5428,0.39
Lexus,1945286,18329,62,Lexus_LX,link,5428,1.14
Lexus,308915,18329,202,Infiniti,link,5428,3.72
Lexus,634370,18329,11,LexisNexis,link,5428,0.20
Lexus,13729,18329,17,Honda,link,5428,0.31
Lexus,4471182,18329,27,Lexus_LF,link,5428,0.50
Lexus,1310341,18329,135,Lexus_ES,link,5428,2.49
Lexus,23153162,18329,38,List_of_Lexus_vehicles,link,5428,0.70
Lexus,762025,18329,196,Lexus_IS,link,5428,3.61
Lexus,30864558,18329,135,Lexus_RX,link,5428,2.49
Lexus,38174481,18329,14,List_of_sports_cars,link,5428,0.26
Lexus,16986173,18329,182,List_of_automobile_manufacturers_of_Japan,link,5428,3.35
Lexus,42270627,18329,22,List_of_current_automobile_manufacturers_by_country,link,5428,0.41
Lexus,586085,18329,34,Audi_RSQ,link,5428,0.63
Lexus,142314,18329,218,Acura,link,5428,4.02
Lexus,44377614,18329,12,2015_Super_GT_season,link,5428,0.22
Lexus,163778,18329,117,Automotive_industry,link,5428,2.16
Lexus,423085,18329,15,Diana_Krall,link,5428,0.28
Lexus,848,18329,32,Audi,other,5428,0.59
Lexus,11225,18329,10,Ferrari,other,5428,0.18
Lexus,18564164,18329,24,Mercedes-Benz,other,5428,0.44
Lexus,24365,18329,10,Porsche,other,5428,0.18
Lexus,15580374,18329,517,Main_Page,other,5428,9.52
Lexus,32413,18329,10,Volkswagen,other,5428,0.18
Lexus,203912,18329,10,Kia_Motors,other,5428,0.18
Lexus,18724,18329,18,Land_Rover,other,5428,0.33
Lexus,147676,18329,18,Jaguar_Cars,other,5428,0.33
Lexus,1597162,18329,17,Lada,other,5428,0.31
Lexus,3772,18329,21,BMW,other,5428,0.39
