curr_title,prev_id,curr_id,n,prev_title,type,connec_tot,conec_perc
Mercedes-Benz,11456091,18564164,25,Mercedes-Benz_770,link,19783,0.13
Mercedes-Benz,1775481,18564164,12,Mercedes-Benz_W113,link,19783,0.06
Mercedes-Benz,846688,18564164,34,Pagani_(automobile),link,19783,0.17
Mercedes-Benz,13958040,18564164,10,Mercedes-Benz_OM601_engine,link,19783,0.05
Mercedes-Benz,1773687,18564164,13,Mercedes-Benz_W120,link,19783,0.07
Mercedes-Benz,1775113,18564164,23,Mercedes-Benz_190,link,19783,0.12
Mercedes-Benz,11781341,18564164,74,Mercedes-Benz_Vito,link,19783,0.37
Mercedes-Benz,14498001,18564164,38,Mercedes-Benz_L-series_truck,link,19783,0.19
Mercedes-Benz,1775276,18564164,12,Mercedes-Benz_200,link,19783,0.06
Mercedes-Benz,3292518,18564164,17,Mercedes-Benz_Type_300,link,19783,0.09
Mercedes-Benz,1773707,18564164,64,Mercedes-Benz_W124,link,19783,0.32
Mercedes-Benz,3073989,18564164,62,Mercedes-Benz_GL-Class,link,19783,0.31
Mercedes-Benz,1773711,18564164,26,Mercedes-Benz_E-Class_(W210),link,19783,0.13
Mercedes-Benz,6021387,18564164,73,Modern_vehicles_of_the_Irish_Army,link,19783,0.37
Mercedes-Benz,980127,18564164,103,Mercedes-Benz_A-Class,link,19783,0.52
Mercedes-Benz,3762949,18564164,24,Mercedes-Benz_TN,link,19783,0.12
Mercedes-Benz,460349,18564164,53,Ralph_Lauren,link,19783,0.27
Mercedes-Benz,1431767,18564164,26,Manumatic,link,19783,0.13
Mercedes-Benz,4544450,18564164,13,Mercedes-Benz_E-Class_(W212),link,19783,0.07
Mercedes-Benz,1221889,18564164,23,Mercedes-Benz_Citaro,link,19783,0.12
Mercedes-Benz,626568,18564164,50,Mercedes-Benz_Superdome,link,19783,0.25
Mercedes-Benz,4690371,18564164,18,Mercedes-Benz_CLK_GTR,link,19783,0.09
Mercedes-Benz,3740556,18564164,10,Mercedes-Benz_M156_engine,link,19783,0.05
Mercedes-Benz,465541,18564164,287,Mercedes-Benz_E-Class,link,19783,1.45
Mercedes-Benz,1775172,18564164,11,Mercedes-Benz_280,link,19783,0.06
Mercedes-Benz,409855,18564164,390,Mercedes-Benz_S-Class,link,19783,1.97
Mercedes-Benz,1825085,18564164,29,Mercedes-Benz_W126,link,19783,0.15
Mercedes-Benz,1775470,18564164,20,Mercedes-Benz_R129,link,19783,0.10
Mercedes-Benz,24498772,18564164,27,Mercedes-Benz_540K,link,19783,0.14
Mercedes-Benz,611005,18564164,27,Mercedes-Benz_300SL,link,19783,0.14
Mercedes-Benz,829023,18564164,112,Mercedes-Benz_M-Class,link,19783,0.57
Mercedes-Benz,1867820,18564164,71,Mercedes-Benz_W140,link,19783,0.36
Mercedes-Benz,3580443,18564164,17,Mercedes-Benz_MB100,link,19783,0.09
Mercedes-Benz,21786764,18564164,146,Mercedes-Benz_SLS_AMG,link,19783,0.74
Mercedes-Benz,39660,18564164,15,Pope_Benedict_XVI,link,19783,0.08
Mercedes-Benz,1866813,18564164,15,Mercedes-Benz_Axor,link,19783,0.08
Mercedes-Benz,231364,18564164,11,Robert_Bosch_GmbH,link,19783,0.06
Mercedes-Benz,5948830,18564164,14,Renault_K-Type_engine,link,19783,0.07
Mercedes-Benz,559451,18564164,79,Mercedes-Benz_SLR_McLaren,link,19783,0.40
Mercedes-Benz,1829462,18564164,19,Mercedes-Benz_SLK-Class_(R171),link,19783,0.10
Mercedes-Benz,624260,18564164,46,Mercedes-Benz_W201,link,19783,0.23
Mercedes-Benz,326675,18564164,16,Personal_luxury_car,link,19783,0.08
Mercedes-Benz,1849079,18564164,12,Mercedes-Benz_Atego,link,19783,0.06
Mercedes-Benz,1814443,18564164,16,Mercedes-Benz_buses,link,19783,0.08
Mercedes-Benz,1825661,18564164,29,Mercedes-Benz_W108,link,19783,0.15
Mercedes-Benz,2905141,18564164,25,Mercedes-Benz_W111,link,19783,0.13
Mercedes-Benz,1775452,18564164,30,Mercedes-Benz_R107_and_C107,link,19783,0.15
Mercedes-Benz,1800030,18564164,12,Rhodesian_Bush_War,link,19783,0.06
Mercedes-Benz,66152,18564164,33,Sea_urchin,link,19783,0.17
Mercedes-Benz,4970973,18564164,84,Mercedes-Benz_Actros,link,19783,0.42
Mercedes-Benz,2078889,18564164,40,Mercedes-Benz_S-Class_(W221),link,19783,0.20
Mercedes-Benz,829047,18564164,74,Mercedes-Benz_CL-Class,link,19783,0.37
Mercedes-Benz,736917,18564164,125,Mercedes-Benz_G-Class,link,19783,0.63
Mercedes-Benz,750573,18564164,102,Mercedes-Benz_SL-Class,link,19783,0.52
Mercedes-Benz,7319192,18564164,59,Mercedes_AMG_High_Performance_Powertrains,link,19783,0.30
Mercedes-Benz,162292,18564164,14,Renault,link,19783,0.07
Mercedes-Benz,19879376,18564164,23,MB,link,19783,0.12
Mercedes-Benz,1913204,18564164,10,Mercedes-Benz_C111,link,19783,0.05
Mercedes-Benz,501798,18564164,27,Mercedes-Benz_600,link,19783,0.14
Mercedes-Benz,484021,18564164,145,Maybach,link,19783,0.73
Mercedes-Benz,3342017,18564164,20,Mercedes_Benz_(song),link,19783,0.10
Mercedes-Benz,44973228,18564164,19,Mercedes-Benz_C-Class_(W205),link,19783,0.10
Mercedes-Benz,15499601,18564164,13,Manor_Motorsport,link,19783,0.07
Mercedes-Benz,552412,18564164,16,Merc,link,19783,0.08
Mercedes-Benz,409837,18564164,62,Mercedes-Benz_C-Class,link,19783,0.31
Mercedes-Benz,5455075,18564164,10,Rolls-Royce_Motor_Cars,link,19783,0.05
Mercedes-Benz,32413,18564164,63,Volkswagen,link,19783,0.32
Mercedes-Benz,2597172,18564164,96,Vehicle_beacon_lights_in_India,link,19783,0.49
Mercedes-Benz,426754,18564164,14,Volkswagen_Phaeton,link,19783,0.07
Mercedes-Benz,166136,18564164,30,Vehicle_identification_number,link,19783,0.15
Mercedes-Benz,194664,18564164,32,The_Flintstones_(film),link,19783,0.16
Mercedes-Benz,15898488,18564164,13,Tempo_(car),link,19783,0.07
Mercedes-Benz,81636,18564164,55,Unimog,link,19783,0.28
Mercedes-Benz,54162,18564164,18,V8_Supercars,link,19783,0.09
Mercedes-Benz,31456,18564164,46,Truck,link,19783,0.23
Mercedes-Benz,42519497,18564164,11,Yanase_(car_dealership),link,19783,0.06
Mercedes-Benz,1584835,18564164,48,Smart_key,link,19783,0.24
Mercedes-Benz,32652,18564164,78,Volkswagen_Group,link,19783,0.39
Mercedes-Benz,13147596,18564164,38,V8_engine,link,19783,0.19
Mercedes-Benz,1308240,18564164,16,Ward's_10_Best_Engines,link,19783,0.08
Mercedes-Benz,507857,18564164,27,Mercedes-Benz_CLS-Class,link,19783,0.14
Mercedes-Benz,1867790,18564164,29,Mercedes-Benz_W116,link,19783,0.15
Mercedes-Benz,19998095,18564164,46,Mercedes-Benz_GLA-Class,link,19783,0.23
Mercedes-Benz,501522,18564164,16,Mercedes-Benz_300SEL_6.3,link,19783,0.08
Mercedes-Benz,974853,18564164,74,Mercedes-Benz_B-Class,link,19783,0.37
Mercedes-Benz,24365,18564164,70,Porsche,link,19783,0.35
Mercedes-Benz,2514840,18564164,13,SsangYong_Korando,link,19783,0.07
Mercedes-Benz,16079449,18564164,10,Porsche_Automobil_Holding_SE,link,19783,0.05
Mercedes-Benz,1775438,18564164,10,Mercedes-Benz_CL-Class_(C215),link,19783,0.05
Mercedes-Benz,44616843,18564164,19,Panaya,link,19783,0.10
Mercedes-Benz,4752846,18564164,17,Mercí©díÂs_Jellinek,link,19783,0.09
Mercedes-Benz,211080,18564164,13,Method_Man,link,19783,0.07
Mercedes-Benz,14287417,18564164,10,Mercedes-Benz_W154,link,19783,0.05
Mercedes-Benz,12451747,18564164,26,Official_state_car,link,19783,0.13
Mercedes-Benz,22284,18564164,20,Opel,link,19783,0.10
Mercedes-Benz,4752315,18564164,13,Mercedes-Benz_190SL,link,19783,0.07
Mercedes-Benz,1773703,18564164,93,Mercedes-Benz_W123,link,19783,0.47
Mercedes-Benz,39397004,18564164,27,Mercedes-Benz_S-Class_(W222),link,19783,0.14
Mercedes-Benz,4922964,18564164,25,Mercedes-Benz_C-Class_(W204),link,19783,0.13
Mercedes-Benz,854888,18564164,386,Mercedes-AMG,link,19783,1.95
Mercedes-Benz,21592991,18564164,43,Most_expensive_cars_sold_in_auction,link,19783,0.22
Mercedes-Benz,10057798,18564164,91,Mohammed_Yusuf_(Boko_Haram),link,19783,0.46
Mercedes-Benz,2457786,18564164,17,Mercedes-Benz_Vario,link,19783,0.09
Mercedes-Benz,43020430,18564164,19,Mercedes-AMG_GT,link,19783,0.10
Mercedes-Benz,19543346,18564164,12,Mercedes-Benz_Zetros,link,19783,0.06
Mercedes-Benz,1775341,18564164,14,Mercedes-Benz_300,link,19783,0.07
Mercedes-Benz,40981922,18564164,11,Michael_Mauer,link,19783,0.06
Mercedes-Benz,21927307,18564164,35,Nina_Mercedez,link,19783,0.18
Mercedes-Benz,31009222,18564164,25,Project_X_(2012_film),link,19783,0.13
Mercedes-Benz,239646,18564164,59,President_of_Russia,link,19783,0.30
Mercedes-Benz,1818751,18564164,16,Mercedes-Benz_S-Class_(W220),link,19783,0.08
Mercedes-Benz,1773692,18564164,12,Mercedes-Benz_W110,link,19783,0.06
Mercedes-Benz,251887,18564164,52,Luxury_vehicle,link,19783,0.26
