curr_title,prev_id,curr_id,n,prev_title,type,connec_tot,conec_perc
Saab,44730860,736913,18,Companies_by_arms_sales,link,986,1.83
Saab,14395,736913,12,Hummer,other,986,1.22
Saab,147676,736913,13,Jaguar_Cars,other,986,1.32
Saab,880702,736913,10,Geely,other,986,1.01
Saab,3772,736913,13,BMW,other,986,1.32
Saab,33731380,736913,13,Dassault_Rafale,other,986,1.32
Saab,848,736913,14,Audi,other,986,1.42
Saab,12102,736913,11,General_Motors,other,986,1.12
Saab,17310,736913,16,Koenigsegg,other,986,1.62
Saab,389605,736913,59,Volvo_Cars,other,986,5.98
Saab,35953235,736913,10,Subaru_Impreza_(second_generation),other,986,1.01
Saab,23901899,736913,12,Subaru,other,986,1.22
Saab,32412,736913,116,Volvo,other,986,11.76
Saab,32851,736913,10,Wiki,other,986,1.01
Saab,76165,736913,10,Pontiac,other,986,1.01
Saab,321949,736913,15,Saab_99,other,986,1.52
Saab,3946960,736913,12,SABB,other,986,1.22
Saab,161812,736913,10,Saturn_Corporation,other,986,1.01
Saab,15580374,736913,482,Main_Page,other,986,48.88
Saab,1386403,736913,11,Saab_9-7X,other,986,1.12
Saab,206359,736913,40,Scania_AB,other,986,4.06
Saab,291368,736913,12,Saab_9-3,other,986,1.22
Saab,682376,736913,41,Saab_Automobile,other,986,4.16
Saab,162292,736913,16,Renault,other,986,1.62
Saab,32652,736913,10,Volkswagen_Group,other,986,1.01
