curr_title,prev_id,curr_id,n,prev_title,type,connec_tot,conec_perc
Tesla,195809,2029013,16,PayPal,other,7599,0.21
Tesla,15580374,2029013,2145,Main_Page,other,7599,28.23
Tesla,62204,2029013,16,Philadelphia_Experiment,other,7599,0.21
Tesla,23833126,2029013,30,Nissan_Leaf,other,7599,0.39
Tesla,36563,2029013,28,Magnetic_field,other,7599,0.37
Tesla,32566,2029013,11,Voltaic_pile,other,7599,0.14
Tesla,4602964,2029013,12,Vacuum_permeability,other,7599,0.16
Tesla,342086,2029013,11,War_of_Currents,other,7599,0.14
Tesla,935979,2029013,65,Tesla_(unit),other,7599,0.86
Tesla,19376148,2029013,12,Stephen_Hawking,other,7599,0.16
Tesla,18215937,2029013,36,Tesla_Model_S,other,7599,0.47
Tesla,32567,2029013,51,Volt,other,7599,0.67
Tesla,39113,2029013,166,Tesla_coil,other,7599,2.18
Tesla,29778,2029013,296,Thomas_Edison,other,7599,3.90
Tesla,152424,2029013,33,Styx_(band),other,7599,0.43
Tesla,5043734,2029013,36,Wikipedia,other,7599,0.47
Tesla,24559053,2029013,21,BMW_i8,other,7599,0.28
Tesla,772,2029013,34,Ampere,other,7599,0.45
Tesla,1208,2029013,29,Alan_Turing,other,7599,0.38
Tesla,1938,2029013,12,Andrew_Carnegie,other,7599,0.16
Tesla,3772,2029013,13,BMW,other,7599,0.17
Tesla,736,2029013,63,Albert_Einstein,other,7599,0.83
Tesla,8783360,2029013,14,Chevrolet_Volt,other,7599,0.18
Tesla,3986,2029013,14,Benjamin_Franklin,other,7599,0.18
Tesla,174857,2029013,15,Def_Leppard,other,7599,0.20
Tesla,16105186,2029013,12,Electric_car,other,7599,0.16
Tesla,852451,2029013,10,General_Motors_EV1,other,7599,0.13
Tesla,18079,2029013,12,Leonardo_da_Vinci,other,7599,0.16
Tesla,13340946,2029013,34,Fisker_Automotive,other,7599,0.45
Tesla,47139,2029013,21,Incandescent_light_bulb,other,7599,0.28
Tesla,181579,2029013,25,J._P._Morgan,other,7599,0.33
Tesla,13371,2029013,12,Henry_Ford,other,7599,0.16
Tesla,12730,2029013,11,General_Electric,other,7599,0.14
Tesla,6451,2029013,10,Charles_Proteus_Steinmetz,other,7599,0.13
Tesla,1923,2029013,411,Alessandro_Volta,other,7599,5.41
Tesla,42986,2029013,35,Alternating_current,other,7599,0.46
Tesla,47713,2029013,11,Direct_current,other,7599,0.14
Tesla,852,2029013,23,Alexander_Graham_Bell,other,7599,0.30
Tesla,47719,2029013,39,Coulomb,other,7599,0.51
Tesla,30963487,2029013,34,BMW_i3,other,7599,0.45
Tesla,856,2029013,34,Apple_Inc.,other,7599,0.45
Tesla,186300,2029013,11,John_D._Rockefeller,other,7599,0.14
Tesla,12462,2029013,15,Gauss_(unit),other,7599,0.20
Tesla,14627,2029013,22,Isaac_Newton,other,7599,0.29
Tesla,1092923,2029013,15,Google,other,7599,0.20
Tesla,909036,2029013,60,Elon_Musk,other,7599,0.79
Tesla,49195,2029013,18,George_Westinghouse,other,7599,0.24
Tesla,12102,2029013,19,General_Motors,other,7599,0.25
Tesla,12104,2029013,34,Guglielmo_Marconi,other,7599,0.45
Tesla,9550,2029013,12,Electricity,other,7599,0.16
Tesla,29688374,2029013,10,Galileo_Galilei,other,7599,0.13
Tesla,30433662,2029013,16,Ford_Motor_Company,other,7599,0.21
Tesla,14573,2029013,10,Isaac_Asimov,other,7599,0.13
Tesla,16327,2029013,24,Joule,other,7599,0.32
Tesla,28989696,2029013,19,James_Clerk_Maxwell,other,7599,0.25
Tesla,15216182,2029013,11,Fisker_Karma,other,7599,0.14
Tesla,754487,2029013,14,Permeability_(electromagnetism),other,7599,0.18
Tesla,19727,2029013,26,Michael_Faraday,other,7599,0.34
Tesla,18737268,2029013,16,SolarCity,other,7599,0.21
Tesla,4462484,2029013,17,Ohm,other,7599,0.22
Tesla,21473,2029013,1236,Nikola_Tesla,other,7599,16.27
Tesla,65890,2029013,17,Magnetic_flux,other,7599,0.22
Tesla,19594213,2029013,10,Planck_constant,other,7599,0.13
Tesla,832774,2029013,63,SpaceX,other,7599,0.83
Tesla,,2029013,1694,other-empty,other,7599,22.29
Tesla,5533631,2029013,85,Tesla_Motors,other,7599,1.12
Tesla,570662,2029013,13,Wireless_power,other,7599,0.17
Tesla,39660346,2029013,38,The_Order:_1886,other,7599,0.50
Tesla,735377,2029013,12,Tesla_(band),other,7599,0.16
Tesla,29691020,2029013,15,Tesla_Model_X,other,7599,0.20
Tesla,30984,2029013,13,Toyota,other,7599,0.17
Tesla,238338,2029013,10,Westinghouse_Electric_(1886),other,7599,0.13
Tesla,346651,2029013,14,Toyota_Prius,other,7599,0.18
Tesla,196508,2029013,23,Wardenclyffe_Tower,other,7599,0.30
Tesla,1900331,2029013,13,Tesla_(company),other,7599,0.17
Tesla,5760445,2029013,11,Tesla_Roadster,other,7599,0.14
Tesla,32851,2029013,50,Wiki,other,7599,0.66
