curr_title,prev_id,curr_id,n,prev_title,type,connec_tot,conec_perc
Volvo,682376,32412,120,Saab_Automobile,link,6115,1.96
Volvo,1306630,32412,17,OMX_Stockholm_30,link,6115,0.28
Volvo,2356214,32412,12,Nils_Bohlin,link,6115,0.20
Volvo,206359,32412,139,Scania_AB,link,6115,2.27
Volvo,51474,32412,12,Seat_belt,link,6115,0.20
Volvo,162292,32412,29,Renault,link,6115,0.47
Volvo,4160563,32412,16,Renault_Magnum,link,6115,0.26
Volvo,286779,32412,494,Mack_Trucks,link,6115,8.08
Volvo,736855,32412,84,Volvo_Construction_Equipment,link,6115,1.37
Volvo,1584835,32412,10,Smart_key,link,6115,0.16
Volvo,736852,32412,95,Volvo_Buses,link,6115,1.55
Volvo,160678,32412,79,White_Motor_Company,link,6115,1.29
Volvo,1308240,32412,18,Ward's_10_Best_Engines,link,6115,0.29
Volvo,737054,32412,10,Volvo_Business_Units,link,6115,0.16
Volvo,40160680,32412,279,Volvo_Trucks,link,6115,4.56
Volvo,736856,32412,21,Volvo_Penta,link,6115,0.34
Volvo,256862,32412,18,Volvo_Ocean_Race,link,6115,0.29
Volvo,8754405,32412,17,Volvo_FH,link,6115,0.28
Volvo,39791384,32412,23,CarPlay,link,6115,0.38
Volvo,4437504,32412,87,Automotive_industry_in_India,link,6115,1.42
Volvo,8736008,32412,17,Assar_Gabrielsson,link,6115,0.28
Volvo,39507851,32412,62,"Alexander_and_the_Terrible,_Horrible,_No_Good,_Very_Bad_Day_(film)",link,6115,1.01
Volvo,6418751,32412,14,Airport_crash_tender,link,6115,0.23
Volvo,3748026,32412,25,Bharat_Earth_Movers,link,6115,0.41
Volvo,1521420,32412,19,Common_rail,link,6115,0.31
Volvo,424537,32412,13,GKN,link,6115,0.21
Volvo,43194901,32412,23,Google_Cardboard,link,6115,0.38
Volvo,17402636,32412,10,Ferrari_California,link,6115,0.16
Volvo,25390847,32412,38,Jeremy_Lin,link,6115,0.62
Volvo,40108394,32412,125,Felina_(Breaking_Bad),link,6115,2.04
Volvo,13678262,32412,10,List_of_the_largest_companies_of_Norway,link,6115,0.16
Volvo,20743794,32412,12,Lithuanian_army_equipment,link,6115,0.20
Volvo,25244942,32412,335,List_of_automobile_manufacturers_of_Sweden,link,6115,5.48
Volvo,39560157,32412,44,List_of_largest_European_companies_by_revenue,link,6115,0.72
Volvo,5058739,32412,102,Sweden,link,6115,1.67
Volvo,3633929,32412,128,UD_Trucks,link,6115,2.09
